"Taxon","longitude","latitude","uncertainty","year"
"Hedera helix L. subsp. helix",10.17695,42.791258,564.189583547756,2005
"Hedera helix L. subsp. helix",10.16714,42.7796,564.189583547756,2005
"Hedera helix L. subsp. helix",10.16423,42.78026,564.189583547756,2005
"Hedera helix L. subsp. helix",10.18068,42.78438,564.189583547756,2005
"Hedera helix L. subsp. helix",10.14778,42.80213,564.189583547756,2005
"Hedera helix L. subsp. helix",10.175894,42.787722,564.189583547756,2005
"Hedera helix L. subsp. helix",10.30901,42.78044,564.189583547756,2005
"Hedera helix L. subsp. helix",10.28211,42.77621,564.189583547756,2005
"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.129328,42.741297,564.189583547756,2005
"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.11582,42.75274,564.189583547756,2005
"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.377605,42.825328,564.189583547756,2005
"Smilax aspera L.",10.36415,42.76859,564.189583547756,2005
"Smilax aspera L.",10.27416,42.79867,564.189583547756,2005
"Smilax aspera L.",10.2041,42.79311,564.189583547756,2005
"Euphorbia dendroides L.",11.081389,42.418528,1784.12411615277,1870
"Arbutus unedo L.",10.294157,42.334467,1784.12411615277,1974
"Arbutus unedo L.",10.512329,43.779295,1784.12411615277,1980
"Calluna vulgaris (L.) Hull",10.296885,44.141195,1784.12411615277,1996
"Arbutus unedo L.",11.160478,42.414856,1784.12411615277,2015
"Iris unguicularis Poir.",10.360987,43.490844,1784.12411615277,2013
"Helianthus tuberosus L.",11.36271,43.07674,1784.12411615277,1999
"Hedera helix L. subsp. helix",11.160478,42.414856,1784.12411615277,2015
"Helianthus tuberosus L.",11.341209,43.636776,1784.12411615277,2002
"Helianthus tuberosus L.",11.825194,43.497355,1784.12411615277,2004
"Dittrichia viscosa (L.) Greuter subsp. viscosa",11.160478,42.414856,1784.12411615277,2015
"Helianthus tuberosus L.",11.178384,43.158398,1784.12411615277,1985
"Hedera helix L. subsp. helix",11.320274,43.091827,1784.12411615277,1999
"Artemisia verlotiorum Lamotte",11.23397,43.87897,3989.42280401433,2016
"Colchicum longifolium Castagne",11.194047,42.957217,1784.12411615277,2008
"Calluna vulgaris (L.) Hull",10.426059,44.2247,1784.12411615277,2005
"Calluna vulgaris (L.) Hull",10.427352,44.225863,1784.12411615277,2005
"Calluna vulgaris (L.) Hull",10.439192,44.226189,1784.12411615277,2005
"Calluna vulgaris (L.) Hull",10.401392,44.228804,1784.12411615277,2005
"Calluna vulgaris (L.) Hull",10.438437,44.225544,1784.12411615277,2005
"Calluna vulgaris (L.) Hull",10.427919,44.226513,1784.12411615277,2005
"Artemisia verlotiorum Lamotte",11.26268,43.88151,3989.42280401433,2016
"Artemisia verlotiorum Lamotte",11.189327,43.969887,3989.42280401433,2016
"Sesleria autumnalis (Scop.) F.W.Schultz",10.180278,44.019122,1784.12411615277,1983
"Arbutus unedo L.",10.180278,44.019122,1784.12411615277,1983
"Prospero autumnale (L.) Speta",10.630269,43.406129,1784.12411615277,2009
"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.618118,43.073068,1784.12411615277,2005
"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.384697,43.517546,1784.12411615277,2011
"Delairea odorata Lem.",10.265283,43.961102,1784.12411615277,2011
"Sternbergia colchiciflora Waldst. & Kit.",11.700745,42.772895,1784.12411615277,2006
"Hedera helix L. subsp. helix",10.296655,43.773871,564.189583547756,2006
"Arbutus unedo L.",10.850777,43.559127,1784.12411615277,1928
"Arbutus unedo L.",10.4512,43.75822,1784.12411615277,2015
"Hedera helix L. subsp. helix",10.4512,43.75822,1784.12411615277,2015
"Cyclamen hederifolium Aiton subsp. hederifolium",10.16714,42.7796,564.189583547756,2005
"Cyclamen hederifolium Aiton subsp. hederifolium",10.16491,42.79619,564.189583547756,2005
"Cyclamen hederifolium Aiton subsp. hederifolium",10.30901,42.78044,564.189583547756,2005
