"X","Taxon","longitude","latitude","uncertainty","year"
39,"Arbutus unedo L.",10.739804,43.892211,1784.12411615277,1933
40,"Arbutus unedo L.",11.067555,42.640797,1784.12411615277,1856
41,"Arbutus unedo L.",10.308134,43.714978,1784.12411615277,1951
42,"Arbutus unedo L.",10.669549,43.711878,1784.12411615277,1951
43,"Arbutus unedo L.",11.311226,43.78118,1784.12411615277,1932
44,"Pulicaria vulgaris Gaertn.",10.229307,43.958506,1784.12411615277,1860
45,"Pulicaria vulgaris Gaertn.",10.334917,43.571273,1784.12411615277,1908
46,"Arbutus unedo L.",10.168652,42.790527,1784.12411615277,1950
47,"Arbutus unedo L.",10.168652,42.790527,1784.12411615277,1936
48,"Arbutus unedo L.",11.145667,42.411119,1784.12411615277,1885
49,"Arbutus unedo L.",9.90632,43.42786,1784.12411615277,1987
50,"Arbutus unedo L.",9.89359,43.42789,1784.12411615277,1988
51,"Arbutus unedo L.",10.923233,43.86874,1784.12411615277,1886
52,"Arbutus unedo L.",11.145667,42.411119,1784.12411615277,1905
53,"Arbutus unedo L.",11.218123,43.705315,1784.12411615277,1857
54,"Arbutus unedo L.",11.09516,42.25488,1784.12411615277,1856
55,"Arbutus unedo L.",11.160478,42.414856,1784.12411615277,1882
56,"Arbutus unedo L.",11.09516,42.25488,1784.12411615277,1886
57,"Arbutus unedo L.",10.901329,42.356387,1784.12411615277,1897
58,"Arbutus unedo L.",10.901329,42.356387,1784.12411615277,1896
59,"Arbutus unedo L.",10.901329,42.356387,1784.12411615277,1894
60,"Arbutus unedo L.",11.09516,42.25488,1784.12411615277,1882
61,"Arbutus unedo L.",11.09814,42.25559,1784.12411615277,1959
62,"Arbutus unedo L.",11.527461,43.836794,1784.12411615277,1872
63,"Arbutus unedo L.",10.658759,43.688893,1784.12411615277,1951
64,"Dittrichia graveolens (L.) Greuter",10.748933,43.222324,1784.12411615277,2003
65,"Arbutus unedo L.",10.751081,43.757561,1784.12411615277,1920
66,"Euphorbia dendroides L.",10.487928,43.749476,1784.12411615277,2009
67,"Arbutus unedo L.",11.857417,43.432075,1784.12411615277,1912
68,"Arbutus unedo L.",11.030505,43.735948,1784.12411615277,1879
69,"Arbutus unedo L.",10.505467,42.950071,1784.12411615277,1951
70,"Arbutus unedo L.",11.210556,42.381389,1784.12411615277,1886
71,"Arbutus unedo L.",10.294215,42.78222,3989.42280401433,1972
72,"Arbutus unedo L.",10.712481,43.662445,1784.12411615277,1963
73,"Arbutus unedo L.",11.14725,43.723698,1784.12411615277,1960
74,"Arbutus unedo L.",11.09814,42.25559,1784.12411615277,2000
75,"Arbutus unedo L.",11.046116,43.820191,1784.12411615277,1963
76,"Arbutus unedo L.",11.046116,43.820191,1784.12411615277,1963
77,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.557218,43.707474,1784.12411615277,2009
78,"Eragrostis curvula (Schrad.) Nees",10.736493,42.799389,1784.12411615277,2008
79,"Eragrostis curvula (Schrad.) Nees",10.736493,42.799389,1784.12411615277,2008
80,"Calluna vulgaris (L.) Hull",10.751081,43.757561,1784.12411615277,1951
81,"Calluna vulgaris (L.) Hull",11.387539,43.853683,1784.12411615277,1954
82,"Oxalis pes-caprae L.",10.594785,43.746474,1784.12411615277,2009
83,"Panicum dichotomiflorum Michx.",11.0269764529008,43.8211004838025,1784.12411615277,2010
84,"Arbutus unedo L.",11.168726,43.894235,3989.42280401433,2009
85,"Calluna vulgaris (L.) Hull",10.912405,43.016747,1784.12411615277,2011
86,"Hieracium sabaudum L.",11.868945,42.9473,1784.12411615277,1998
87,"Arbutus unedo L.",10.7153,43.12153,3989.42280401433,1996
88,"Prospero autumnale (L.) Speta",10.62003,43.39917,1784.12411615277,2009
89,"Prospero autumnale (L.) Speta",10.748933,43.222324,1784.12411615277,2003
90,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.851276,43.713485,564.189583547756,2015
91,"Calluna vulgaris (L.) Hull",10.763917,43.798727,564.189583547756,2013
92,"Smilax aspera L.",10.541711,43.768655,1784.12411615277,2009
93,"Arbutus unedo L.",10.452733,43.780089,1784.12411615277,1881
94,"Prospero autumnale (L.) Speta",10.4902690524216,43.7415491963157,564.189583547756,2019
95,"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.540629,43.32382,564.189583547756,2017
96,"Spiranthes spiralis (L.) Chevall.",10.0772792100906,44.0223462824591,1784.12411615277,2008
97,"Spiranthes spiralis (L.) Chevall.",10.1362502574921,44.0200240907716,1784.12411615277,2008
98,"Spiranthes spiralis (L.) Chevall.",10.2673056721687,43.9259684388862,1784.12411615277,2013
99,"Spiranthes spiralis (L.) Chevall.",10.1909565925598,43.9393467578309,1784.12411615277,2013
